Id;Quantity;Designator;Designation;Package
15;4;C10,C9,C4,C3;100u/12V;CP_Elec_6.3x5.4
17;2;C2,C1;100n;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder
16;4;C8,C7,C6,C5;100n;C_0805_2012Metric
14;1;J1;USB_B_Micro;conn_usb_B_micro_smd-2
13;1;J2;UART;PinHeader_1x03_P2.54mm_Vertical
1;1;J3;Raspberry_Pi_2_3;Raspberry-PI-3-B-vertical
12;1;J4;12V;DG301-5.0-02
11;1;J5;T100-OUT;PinSocket_1x12_P2.54mm_Horizontal
10;2;L2,L1;6.8uH;CKCS6028
4;1;R10;4.22k 1%;R_0805_2012Metric
9;2;R2,R1;100k;R_0805_2012Metric
8;4;R6,R5,R4,R3;1K5;R_0805_2012Metric
7;1;R7;30k 1%;R_0805_2012Metric
6;1;R8;6.65k 1%;R_0805_2012Metric
5;1;R9;30.9k 1%;R_0805_2012Metric
3;1;U1;CH330N;SOIC-8_3.9x4.9mm_P1.27mm
2;2;U3,U2;FR8205;SOT-23-6
