"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3";"PinSocket_1x10_P2.54mm_Horizontal";1;"T100-OUT";;;
2;"C7,C6,C8,C18,C11,C3,C2";"C_0805_2012Metric";7;"100n";;;
3;"J1";"DG301-5.0-02";1;"Conn_01x02_Female";;;
4;"X1";"SWD";1;"SWD";;;
5;"U3";"SOIC-14_3.9x8.7mm_P1.27mm";1;"ATSAMD11C14A-SS";;;
6;"L3,L1";"CKCS6028";2;"6.8uH";;;
7;"U2,U1";"SOT-23-6";2;"FR8205";;;
8;"R13,R4";"R_0805_2012Metric";2;"270R";;;
9;"R12";"R_0805_2012Metric";1;"1k5";;;
10;"R11,R10,R9,R8";"R_0805_2012Metric";4;"1K5";;;
11;"R7";"R_0805_2012Metric";1;"4.22k 1%";;;
12;"R6";"R_0805_2012Metric";1;"30.9k 1%";;;
13;"R5,R1";"R_0805_2012Metric";2;"100k";;;
14;"R3";"R_0805_2012Metric";1;"6.65k 1%";;;
15;"R2";"R_0805_2012Metric";1;"30k 1%";;;
16;"J2";"conn_usb_B_micro_smd-2";1;"USB_B_Micro";;;
17;"DG1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"GREEN";;;
18;"DW1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"WHITE";;;
19;"DR1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"RED";;;
20;"C19,C5,C4,C1";"CP_Elec_6.3x5.4";4;"100u/12V";;;
